,States to learn,Wright answers
0,Alabama,Montana
1,Arizona,California
2,Arkansas,New Jersey
3,Connecticut,New York
4,Delaware,Alaska
5,Florida,Texas
6,Georgia,Colorado
7,Hawaii,
8,Idaho,
9,Illinois,
10,Indiana,
11,Iowa,
12,Kansas,
13,Kentucky,
14,Louisiana,
15,Maine,
16,Maryland,
17,Massachusetts,
18,Michigan,
19,Minnesota,
20,Mississippi,
21,Missouri,
22,Nebraska,
23,Nevada,
24,New Hampshire,
25,New Mexico,
26,North Carolina,
27,North Dakota,
28,Ohio,
29,Oklahoma,
30,Oregon,
31,Pennsylvania,
32,Rhode Island,
33,South Carolina,
34,South Dakota,
35,Tennessee,
36,Utah,
37,Vermont,
38,Virginia,
39,Washington,
40,West Virginia,
41,Wisconsin,
42,Wyoming,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
