French,English
histoire,history
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
aucun,no
laisse,leash
eux,them
ville,city
devrait,should
bébé,baby
longtemps,long time
heures,hours
pendant,while
place,square
compris,understood
savais,knew
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
train,train
corps,body
yeux,eyes
dont,whose
trouve,find
perdu,lost
main,hand
côté,side
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
jouer,to play
bureau,office
